t	I
53.215839	0.011367
53.292134	0.012381
53.368429	0.013974
53.444724	0.016036
53.521019	0.019105
53.597314	0.022779
53.67361	0.026283
53.749905	0.029948
53.8262	0.033033
53.902495	0.034748
53.97879	0.03601
54.055085	0.036081
54.13138	0.034477
54.207675	0.032299
54.28397	0.028509
54.360266	0.023702
54.436561	0.019706
54.512856	0.016504
54.589151	0.017571
54.665446	0.026012
54.741741	0.045735
54.818036	0.08606
54.894331	0.153352
54.970626	0.262278
55.046921	0.432869
55.123217	0.677655
55.199512	1.028124
55.275807	1.507981
55.352102	2.118165
55.428397	2.873508
55.504692	3.722979
55.580987	4.557261
55.657282	5.271757
55.733577	5.690712
55.809873	5.711774
55.886168	5.372908
55.962463	4.732934
56.038758	3.956719
56.115053	3.198168
56.191348	2.510648
56.267643	1.958424
56.343938	1.542087
56.420233	1.222477
56.496529	0.996077
56.572824	0.829367
56.649119	0.693753
56.725414	0.590995
56.801709	0.502081
56.878004	0.418645
56.954299	0.350337
57.030594	0.289074
57.106889	0.231817
57.183185	0.18669
57.25948	0.150094
57.335775	0.1189
57.41207	0.098047
57.488365	0.086577
57.56466	0.079747
57.640955	0.078415
57.71725	0.084151
57.793545	0.092772
57.869841	0.101556
57.946136	0.113619
58.022431	0.127824
58.098726	0.139738
58.175021	0.151928
58.251316	0.166024
58.327611	0.177052
58.403906	0.185626
58.480201	0.196032
58.556497	0.205651
58.632792	0.212857
58.709087	0.221534
58.785382	0.231062
58.861677	0.237796
58.937972	0.243657
59.014267	0.250742
59.090562	0.255791
59.166857	0.257447
59.243153	0.258802
59.319448	0.259402
59.395743	0.256077
59.472038	0.25085
59.548333	0.24611
59.624628	0.239232
59.700923	0.230866
59.777218	0.224749
59.853513	0.21843
59.929808	0.208882
60.006104	0.198997
60.082399	0.189913
60.158694	0.180163
60.234989	0.170931
60.311284	0.16259
60.387579	0.153486
60.463874	0.14392
60.540169	0.134739
60.616464	0.125634
60.69276	0.116611
60.769055	0.107949
60.84535	0.100173
60.921645	0.093627
60.99794	0.087518
61.074235	0.081862
61.15053	0.077759
61.226825	0.07458
61.30312	0.071235
61.379416	0.068274
61.455711	0.065387
61.532006	0.061191
61.608301	0.055766
61.684596	0.049353
61.760891	0.041486
61.837186	0.032428
61.913481	0.022606
61.989776	0.012759
62.066072	0.004903
62.142367	0.001913
62.218662	0.007585
62.294957	0.026411
62.371252	0.064458
62.447547	0.129463
62.523842	0.229629
62.600137	0.375997
62.676432	0.579754
62.752728	0.850448
62.829023	1.200209
62.905318	1.635038
62.981613	2.152783
63.057908	2.743159
63.134203	3.371651
63.210498	3.988392
63.286793	4.528057
63.363088	4.910218
63.439384	5.079442
63.515679	5.005767
63.591974	4.698898
63.668269	4.220013
63.744564	3.636694
63.820859	3.022441
63.897154	2.441689
63.973449	1.927779
64.049744	1.502867
64.12604	1.170638
64.202335	0.921883
64.27863	0.749116
64.354925	0.638515
64.43122	0.578354
64.507515	0.560404
64.58381	0.573733
64.660105	0.61247
64.7364	0.672116
64.812696	0.74732
64.888991	0.837553
64.965286	0.941106
65.041581	1.054823
65.117876	1.178108
65.194171	1.307955
65.270466	1.440576
65.346761	1.573066
65.423056	1.698328
65.499351	1.807969
65.575647	1.895635
65.651942	1.955193
65.728237	1.981881
65.804532	1.973662
65.880827	1.930797
65.957122	1.855237
66.033417	1.752391
66.109712	1.630413
66.186007	1.494646
66.262303	1.349813
66.338598	1.201743
66.414893	1.05359
66.491188	0.909921
66.567483	0.775192
66.643778	0.649117
66.720073	0.532719
66.796368	0.426793
66.872663	0.329631
66.948959	0.242549
67.025254	0.166529
67.101549	0.101671
67.177844	0.05073
67.254139	0.016124
67.330434	0.001499
67.406729	0.012241
67.483024	0.05545
67.559319	0.141994
67.635615	0.285291
67.71191	0.507029
67.788205	0.834933
67.8645	1.305026
67.940795	1.96853
68.01709	2.868839
68.093385	4.034926
68.16968	5.431935
68.245975	6.88323
68.322271	8.088462
68.398566	8.666725
68.474861	8.376068
68.551156	7.30734
68.627451	5.778053
68.703746	4.190574
68.780041	2.82118
68.856336	1.764298
68.932631	1.026926
69.008927	0.547344
69.085222	0.256586
69.161517	0.103145
69.237812	0.037689
69.314107	0.028642
69.390402	0.050802
69.466697	0.086212
69.542992	0.125913
69.619287	0.15857
69.695583	0.182151
69.771878	0.196552
69.848173	0.197723
69.924468	0.191874
70.000763	0.183386
70.077058	0.170947
70.153353	0.160636
70.229648	0.156566
70.305943	0.156534
70.382238	0.163513
70.458534	0.180442
70.534829	0.200945
70.611124	0.221645
70.687419	0.24545
70.763714	0.266545
70.840009	0.280488
70.916304	0.292031
70.992599	0.296573
71.068894	0.289496
71.14519	0.279448
71.221485	0.268166
71.29778	0.252853
71.374075	0.240666
71.45037	0.233579
71.526665	0.225663
71.60296	0.219651
71.679255	0.218476
71.75555	0.215252
71.831846	0.208574
71.908141	0.202186
71.984436	0.191609
72.060731	0.175455
72.137026	0.158976
72.213321	0.140197
72.289616	0.117711
72.365911	0.097403
72.442206	0.08037
72.518502	0.064436
72.594797	0.051477
72.671092	0.042442
72.747387	0.035484
72.823682	0.03025
72.899977	0.027234
72.976272	0.025136
73.052567	0.022629
73.128862	0.020637
73.205158	0.019998
73.281453	0.019535
73.357748	0.018639
73.434043	0.018362
73.510338	0.018327
73.586633	0.017693
73.662928	0.017671
73.739223	0.018084
73.815518	0.017193
73.891814	0.016091
73.968109	0.015384
74.044404	0.014043
74.120699	0.013137
74.196994	0.012765
74.273289	0.011883
74.349584	0.011494
74.425879	0.011506
74.502174	0.011435
74.57847	0.012257
74.654765	0.012871
74.73106	0.013012
74.807355	0.013979
74.88365	0.013994
74.959945	0.013795
75.03624	0.014915
75.112535	0.014642
75.18883	0.014257
75.265126	0.015694
75.341421	0.015674
75.417716	0.01548
75.494011	0.017344
75.570306	0.017191
75.646601	0.016302
75.722896	0.017694
75.799191	0.017335
75.875486	0.016321
75.951781	0.01815
76.028077	0.018514
76.104372	0.017347
76.180667	0.019062
76.256962	0.020134
76.333257	0.019629
76.409552	0.022836
76.485847	0.027272
76.562142	0.029519
76.638437	0.035717
76.714733	0.04508
76.791028	0.050971
76.867323	0.060224
76.943618	0.074708
77.019913	0.084638
